epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,5465.25,0.85928,0.44077,0.97801,0.97173,0.97429,0.98677,0.79527,0.77434,0.33038,0.90341,0.005116,0.005116,0.005116
76,5537.56,0.85933,0.44,0.98112,0.97003,0.97487,0.98665,0.79561,0.77428,0.32991,0.90371,0.00505,0.00505,0.00505
77,5609.84,0.85311,0.43897,0.97928,0.96984,0.97491,0.98658,0.79484,0.77347,0.32965,0.90342,0.004984,0.004984,0.004984
78,5685.42,0.85311,0.43308,0.98036,0.96942,0.97502,0.98607,0.79512,0.7731,0.32959,0.90337,0.004918,0.004918,0.004918
79,5759.79,0.84418,0.43032,0.97606,0.96917,0.97477,0.98598,0.79545,0.77242,0.329,0.90338,0.004852,0.004852,0.004852
80,5837.09,0.84977,0.43351,0.97719,0.971,0.97412,0.98567,0.79421,0.77217,0.32822,0.90334,0.004786,0.004786,0.004786
81,5912.31,0.85126,0.43181,0.97643,0.97086,0.97323,0.98557,0.79444,0.77172,0.32839,0.90336,0.00472,0.00472,0.00472
82,5989.37,0.85414,0.4329,0.97365,0.97162,0.9735,0.98558,0.79549,0.77146,0.32825,0.90294,0.004654,0.004654,0.004654
83,6066.64,0.84773,0.42998,0.97438,0.97121,0.97321,0.98551,0.79531,0.77152,0.32801,0.90326,0.004588,0.004588,0.004588
84,6142.67,0.84423,0.42847,0.97624,0.97149,0.97319,0.98561,0.79559,0.77127,0.32692,0.90377,0.004522,0.004522,0.004522
85,6214.24,0.84235,0.42463,0.97539,0.97081,0.97318,0.98564,0.79619,0.77076,0.32609,0.90386,0.004456,0.004456,0.004456
86,6289.96,0.84314,0.42308,0.97755,0.97055,0.97317,0.98583,0.79636,0.77046,0.32561,0.90398,0.00439,0.00439,0.00439
87,6362.7,0.83885,0.4255,0.97431,0.96968,0.97316,0.98573,0.79649,0.76999,0.32526,0.90401,0.004324,0.004324,0.004324
88,6437.53,0.84255,0.42393,0.97404,0.96985,0.97303,0.98573,0.79616,0.76949,0.32464,0.90403,0.004258,0.004258,0.004258
89,6510.33,0.83926,0.42376,0.97428,0.96976,0.97316,0.98574,0.79651,0.76883,0.32409,0.90368,0.004192,0.004192,0.004192
90,6581.15,0.8365,0.4211,0.97164,0.96916,0.97317,0.98587,0.79586,0.76846,0.32367,0.90361,0.004126,0.004126,0.004126
91,6652.8,0.83506,0.42004,0.97545,0.97004,0.97328,0.98613,0.79642,0.76801,0.32359,0.90361,0.00406,0.00406,0.00406
92,6724.17,0.83725,0.41952,0.97277,0.96961,0.97305,0.9859,0.7965,0.76781,0.32295,0.90356,0.003994,0.003994,0.003994
93,6795.73,0.83449,0.41725,0.97019,0.96987,0.97337,0.98578,0.79713,0.76792,0.3229,0.90338,0.003928,0.003928,0.003928
94,6866.74,0.83553,0.4148,0.96889,0.96988,0.97353,0.98559,0.797,0.76765,0.32266,0.90323,0.003862,0.003862,0.003862
95,6936.82,0.82866,0.4105,0.9689,0.97027,0.97347,0.98561,0.79714,0.76764,0.32251,0.9031,0.003796,0.003796,0.003796
96,7007.27,0.83219,0.41347,0.96779,0.97021,0.97312,0.98562,0.79709,0.76732,0.32284,0.90292,0.00373,0.00373,0.00373
97,7077.55,0.82887,0.41232,0.96995,0.97075,0.97373,0.98571,0.7967,0.76696,0.32246,0.90273,0.003664,0.003664,0.003664
98,7149.96,0.83205,0.41126,0.96747,0.97071,0.97363,0.98565,0.79694,0.76685,0.32242,0.90266,0.003598,0.003598,0.003598
99,7222.03,0.82699,0.41178,0.97088,0.97007,0.97402,0.9858,0.79714,0.76664,0.32234,0.90268,0.003532,0.003532,0.003532
100,7293.96,0.8272,0.41107,0.96678,0.97008,0.97403,0.98588,0.7981,0.7665,0.32199,0.9026,0.003466,0.003466,0.003466
101,7370.67,0.82204,0.40927,0.96591,0.96982,0.97414,0.98584,0.79874,0.7664,0.32186,0.90249,0.0034,0.0034,0.0034
102,7446.12,0.82377,0.40862,0.96652,0.96998,0.97406,0.98586,0.79805,0.7662,0.32146,0.90243,0.003334,0.003334,0.003334
103,7519.24,0.81647,0.40279,0.96428,0.96987,0.97399,0.98586,0.79921,0.76603,0.32139,0.90237,0.003268,0.003268,0.003268
104,7595.7,0.82047,0.40123,0.96624,0.97011,0.97406,0.98584,0.79902,0.76614,0.32099,0.9023,0.003202,0.003202,0.003202
105,7672,0.82136,0.40289,0.96666,0.96996,0.97429,0.98588,0.79853,0.76609,0.32101,0.90223,0.003136,0.003136,0.003136
106,7746.5,0.81714,0.40232,0.96145,0.96992,0.9743,0.98592,0.7987,0.76621,0.32122,0.90215,0.00307,0.00307,0.00307
107,7824.54,0.81687,0.40107,0.9616,0.96921,0.97447,0.98591,0.79879,0.7661,0.32152,0.90206,0.003004,0.003004,0.003004
108,7901.94,0.81541,0.40141,0.95945,0.9698,0.97411,0.98591,0.79887,0.76584,0.32117,0.9019,0.002938,0.002938,0.002938
109,7976.77,0.81511,0.3989,0.96232,0.96968,0.97434,0.986,0.79944,0.76573,0.32084,0.90177,0.002872,0.002872,0.002872
110,8052.11,0.80833,0.39673,0.96248,0.96978,0.9745,0.98598,0.79907,0.76567,0.32047,0.90175,0.002806,0.002806,0.002806
111,8129.29,0.81494,0.3955,0.96243,0.97008,0.9745,0.98606,0.7991,0.76513,0.32046,0.90148,0.00274,0.00274,0.00274
112,8205.18,0.81567,0.39888,0.96314,0.9699,0.97451,0.98606,0.79907,0.76513,0.32022,0.90154,0.002674,0.002674,0.002674
113,8282.41,0.80327,0.39247,0.95735,0.97019,0.97466,0.98606,0.79885,0.76511,0.31982,0.90146,0.002608,0.002608,0.002608
114,8361,0.80777,0.39077,0.96141,0.96989,0.97437,0.98594,0.79891,0.76499,0.31981,0.90135,0.002542,0.002542,0.002542
115,8436.16,0.80052,0.38932,0.9601,0.96978,0.97479,0.98612,0.79875,0.76498,0.31951,0.90128,0.002476,0.002476,0.002476
116,8508.76,0.80626,0.38784,0.95698,0.96971,0.97458,0.98593,0.79867,0.76516,0.3194,0.90112,0.00241,0.00241,0.00241
117,8585.75,0.80001,0.38611,0.95709,0.96949,0.97458,0.98589,0.79843,0.76493,0.31927,0.90108,0.002344,0.002344,0.002344
118,8661.15,0.79826,0.38539,0.95545,0.96931,0.97421,0.98588,0.79867,0.76496,0.31926,0.90097,0.002278,0.002278,0.002278
119,8735.71,0.79809,0.38373,0.95381,0.96929,0.97433,0.98601,0.79885,0.76495,0.31881,0.90093,0.002212,0.002212,0.002212
120,8811.36,0.8035,0.38655,0.95332,0.96945,0.97454,0.98603,0.79895,0.76503,0.31845,0.90082,0.002146,0.002146,0.002146
121,8886.36,0.80096,0.38394,0.94956,0.96974,0.97465,0.98612,0.79948,0.76481,0.31812,0.90068,0.00208,0.00208,0.00208
122,8962.59,0.78911,0.38471,0.9511,0.9702,0.97445,0.98598,0.79922,0.76483,0.31786,0.90057,0.002014,0.002014,0.002014
123,9036.54,0.79895,0.38085,0.95344,0.96977,0.97456,0.98613,0.79882,0.76476,0.31779,0.90044,0.001948,0.001948,0.001948
124,9111.67,0.78654,0.38178,0.95238,0.96964,0.97456,0.98591,0.79889,0.76467,0.3181,0.90029,0.001882,0.001882,0.001882
125,9179.25,0.78872,0.37556,0.95294,0.96966,0.97485,0.9859,0.79891,0.76463,0.31823,0.90021,0.001816,0.001816,0.001816
126,9250.8,0.79062,0.37856,0.9529,0.96953,0.9749,0.98601,0.79917,0.76478,0.31795,0.90011,0.00175,0.00175,0.00175
127,9322.36,0.79093,0.37631,0.95104,0.96954,0.97495,0.98603,0.79947,0.76466,0.31789,0.90001,0.001684,0.001684,0.001684
128,9394.67,0.78498,0.37481,0.94882,0.96934,0.97498,0.98594,0.79938,0.76496,0.31764,0.89996,0.001618,0.001618,0.001618
129,9466.3,0.78314,0.37876,0.95196,0.96918,0.9748,0.98589,0.79974,0.76503,0.31768,0.89993,0.001552,0.001552,0.001552
130,9538.24,0.78531,0.37362,0.9515,0.96917,0.9748,0.98594,0.79993,0.76504,0.31755,0.89987,0.001486,0.001486,0.001486
