epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3606.33,0.84227,0.42904,0.96864,0.97435,0.97274,0.98763,0.78154,0.82123,0.35338,0.93943,0.005314,0.005314,0.005314
73,3655.99,0.84374,0.42455,0.9713,0.96826,0.97213,0.9875,0.79245,0.8092,0.35309,0.93343,0.005248,0.005248,0.005248
74,3705.51,0.83839,0.42403,0.96679,0.97082,0.9709,0.987,0.7938,0.80937,0.35386,0.93457,0.005182,0.005182,0.005182
75,3755.34,0.8361,0.42408,0.96905,0.9732,0.97334,0.98419,0.78942,0.80804,0.35256,0.93418,0.005116,0.005116,0.005116
76,3804.84,0.83774,0.423,0.9658,0.97362,0.97171,0.98838,0.79269,0.80875,0.34804,0.93073,0.00505,0.00505,0.00505
77,3854.62,0.83093,0.41637,0.96528,0.96811,0.97282,0.98691,0.79246,0.80496,0.34847,0.93269,0.004984,0.004984,0.004984
78,3904.29,0.83441,0.42075,0.96615,0.97247,0.97383,0.98823,0.79333,0.8046,0.34864,0.93162,0.004918,0.004918,0.004918
79,3954.16,0.83168,0.41612,0.96398,0.97496,0.96879,0.98817,0.79068,0.8048,0.34707,0.93295,0.004852,0.004852,0.004852
80,4003.54,0.83511,0.4162,0.96676,0.97388,0.9738,0.98864,0.79052,0.80699,0.34761,0.93187,0.004786,0.004786,0.004786
81,4053.27,0.83688,0.41997,0.9677,0.97306,0.97018,0.98635,0.79182,0.80475,0.35011,0.93285,0.00472,0.00472,0.00472
82,4103.06,0.82674,0.4171,0.96984,0.97554,0.97253,0.98613,0.79428,0.80466,0.34294,0.93477,0.004654,0.004654,0.004654
83,4153.02,0.82719,0.41476,0.96127,0.97521,0.97138,0.98612,0.79113,0.80507,0.34137,0.92824,0.004588,0.004588,0.004588
84,4202.62,0.83074,0.4203,0.9666,0.96373,0.9761,0.98629,0.79912,0.79404,0.3409,0.92892,0.004522,0.004522,0.004522
85,4252.38,0.82663,0.41262,0.96427,0.97251,0.97384,0.98612,0.79313,0.80064,0.34169,0.93015,0.004456,0.004456,0.004456
86,4302.18,0.82748,0.41482,0.96483,0.96594,0.97331,0.98743,0.79886,0.79508,0.34042,0.92868,0.00439,0.00439,0.00439
87,4351.9,0.82625,0.41505,0.96564,0.96864,0.97349,0.98424,0.79459,0.79519,0.33838,0.92622,0.004324,0.004324,0.004324
